,,EAN,Produto,Categoria,Descrição,Preço,Fornecedor,Data
,,8749337332911,Live,Categoria 1,Somente a descrição do produto,19.37,luciano@gmail.com,12/15/2023
,,7773480624327,These,Categoria 2,Somente a descrição do produto,10.52,fabio@gmail.com,12/15/2023
,,5962392145699,Close,Categoria 3,Somente a descrição do produto,97.95,fornecedor@gmail.com,12/15/2023
,,2162063789976,Southern,Categoria 4,Somente a descrição do produto,5.18,luciano@gmail.com,12/15/2023
,,593494624826,Goal,Categoria 5,Somente a descrição do produto,68.14,fabio@gmail.com,12/15/2023
,,4679895315450,Word,Categoria 6,Somente a descrição do produto,43.88,fornecedor@gmail.com,12/15/2023
,,3951394551418,Half,Categoria 7,Somente a descrição do produto,21.47,luciano@gmail.com,12/15/2023
,,9970606736843,Water,Categoria 8,Somente a descrição do produto,71.32,fabio@gmail.com,12/15/2023
,,3652701720014,East,Categoria 9,Somente a descrição do produto,89.98,fornecedor@gmail.com,12/15/2023
,,3411020047796,Political,Categoria 1,Somente a descrição do produto,48.84,luciano@gmail.com,12/15/2023
,,1418357842553,Large,Categoria 2,Somente a descrição do produto,72.59,fabio@gmail.com,12/15/2023
,,5122427008966,Data,Categoria 3,Somente a descrição do produto,37.7,fornecedor@gmail.com,12/15/2023
,,539779865270,Significant,Categoria 4,Somente a descrição do produto,73.6,luciano@gmail.com,12/15/2023
,,9851568387413,School,Categoria 5,Somente a descrição do produto,82.72,fabio@gmail.com,12/15/2023
,,8121141665285,Up,Categoria 6,Somente a descrição do produto,87.86,fornecedor@gmail.com,12/15/2023
,,5912362488233,Trial,Categoria 7,Somente a descrição do produto,44.33,luciano@gmail.com,12/15/2023
,,8993492242312,On,Categoria 8,Somente a descrição do produto,21.7,fabio@gmail.com,12/15/2023
,,5361371039828,Board,Categoria 9,Somente a descrição do produto,21.51,fornecedor@gmail.com,12/15/2023
,,3642333404444,Big,Categoria 2,Somente a descrição do produto,61.92,luciano@gmail.com,12/15/2023
,,6721077441308,Luciano,Categoria 3,Somente a descrição do produto,71.94,fabio@gmail.com,12/15/2023
,,7604973768917,Blood,Categoria 4,Somente a descrição do produto,33.77,fornecedor@gmail.com,12/15/2023
,,5257978805198,Month,Categoria 5,Somente a descrição do produto,94.15,luciano@gmail.com,12/15/2023
,,4984664200005,Another,Categoria 6,Somente a descrição do produto,18.85,fabio@gmail.com,12/15/2023
,,1293697005093,Do,Categoria 7,Somente a descrição do produto,65.7,fornecedor@gmail.com,12/15/2023
,,6369378146838,And,Categoria 8,Somente a descrição do produto,20.74,luciano@gmail.com,12/15/2023
,,8139752251360,Million,Categoria 9,Somente a descrição do produto,59.99,fabio@gmail.com,12/15/2023
,,1007604843339,Group,Categoria 1,Somente a descrição do produto,27.73,fornecedor@gmail.com,12/15/2023
,,8512699721828,Policy,Categoria 2,Somente a descrição do produto,77.5,luciano@gmail.com,12/15/2023
,,9501252806187,Contain,Categoria 3,Somente a descrição do produto,39.86,fabio@gmail.com,12/15/2023
,,9176429847395,We,Categoria 4,Somente a descrição do produto,90.53,fornecedor@gmail.com,12/15/2023
,,503179978595,Example,Categoria 5,Somente a descrição do produto,76.47,luciano@gmail.com,12/15/2023
,,4168045256779,Expert,Categoria 6,Somente a descrição do produto,71.63,fabio@gmail.com,12/15/2023
,,606146239931,Name,Categoria 7,Somente a descrição do produto,35.5,fornecedor@gmail.com,12/15/2023
,,140720026543,Cut,Categoria 8,Somente a descrição do produto,85.28,luciano@gmail.com,12/15/2023
,,9496809841790,Movie,Categoria 9,Somente a descrição do produto,44.73,fabio@gmail.com,12/15/2023
,,7557383203984,Month,Categoria 2,Somente a descrição do produto,27.74,fornecedor@gmail.com,12/15/2023
,,6279002706829,Right,Categoria 3,Somente a descrição do produto,34.66,luciano@gmail.com,12/15/2023
,,1592029400958,Court,Categoria 4,Somente a descrição do produto,38.57,fabio@gmail.com,12/15/2023
,,7986458136665,Can,Categoria 5,Somente a descrição do produto,40.05,fornecedor@gmail.com,12/15/2023
,,8042809724611,Government,Categoria 6,Somente a descrição do produto,42.4,luciano@gmail.com,12/15/2023
,,4464212763997,Week,Categoria 7,Somente a descrição do produto,28.83,fabio@gmail.com,12/15/2023
,,7240252977665,Recent,Categoria 8,Somente a descrição do produto,82.49,fornecedor@gmail.com,12/15/2023
,,7796228146172,Technology,Categoria 9,Somente a descrição do produto,56.4,luciano@gmail.com,12/15/2023
,,3867448178022,Physical,Categoria 1,Somente a descrição do produto,89.84,fabio@gmail.com,12/15/2023
,,4030130093883,Item,Categoria 2,Somente a descrição do produto,76.31,fornecedor@gmail.com,12/15/2023
,,4719563399501,Hear,Categoria 3,Somente a descrição do produto,17.33,luciano@gmail.com,12/15/2023
,,1351786111145,Company,Categoria 4,Somente a descrição do produto,13.02,fabio@gmail.com,12/15/2023
,,7264043993153,Truth,Categoria 5,Somente a descrição do produto,75.04,fornecedor@gmail.com,12/15/2023
,,8432423624709,First,Categoria 6,Somente a descrição do produto,68.33,luciano@gmail.com,12/15/2023
,,3013893152012,Development,Categoria 7,Somente a descrição do produto,73.27,fabio@gmail.com,12/15/2023
,,2303649081866,Reach,Categoria 8,Somente a descrição do produto,25.86,fornecedor@gmail.com,12/15/2023
,,1409118048437,Similar,Categoria 9,Somente a descrição do produto,12.49,luciano@gmail.com,12/15/2023
,,6603919743446,Deep,Categoria 2,Somente a descrição do produto,85.75,fabio@gmail.com,12/15/2023
,,8526480190304,Republican,Categoria 3,Somente a descrição do produto,5.3,fornecedor@gmail.com,12/15/2023
,,6979500761626,Fine,Categoria 4,Somente a descrição do produto,25.82,luciano@gmail.com,12/15/2023
